t,nSOCS3RNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.000782055965379711,19.6117339624137,0.0110731935668816
20,0.00964627104623741,11.6675146328635,0.043094229813868
35,NaN,NaN,0.157618988636458
40,0.0195722447271346,14.1569509177039,NaN
55,NaN,NaN,0.212059271704516
60,0.0190695246031999,NaN,NaN
65,NaN,14.0815203767992,NaN
80,NaN,NaN,0.248717913885708
85,0.0203320446399084,NaN,NaN
90,NaN,16.1331591866694,NaN
100,0.0185022072932751,13.6126664896673,0.262530853958225
150,0.0175925659481488,13.3106366330363,0.249258614323608
200,0.0171369237667908,14.8538856472487,0.178728748880223
250,0.0188200018617533,14.7613468773968,0.204376967328429
300,0.0157598188735807,12.4184316325004,0.211323444307456
350,NaN,14.9160253785183,NaN
