t,nSOCS3RNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.00137438320747201,14.1861488906149,-0.0312035986578516
15,NaN,11.451783862163,NaN
20,0.0178096430010187,NaN,0.106825631642564
35,NaN,11.3535503185317,0.239243878335203
45,0.0406324386365447,NaN,NaN
50,NaN,14.1036978807516,NaN
55,NaN,NaN,0.398091328023008
70,0.0348630601429323,13.1964946583543,NaN
75,NaN,NaN,0.411554920815585
90,NaN,11.5345368438545,NaN
95,0.0357050983388095,NaN,NaN
100,NaN,11.6882134369045,0.390057607593713
150,0.0313429816295907,11.8838250865976,0.386132807926277
200,0.0265620457934963,12.839949911543,0.346743900526242
250,0.0293338606901125,13.1707598945479,0.295751675581662
300,0.025087115917552,14.0848481823307,NaN
350,NaN,14.9162763805552,0.295425068108377
