t,nSOCS3RNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000197342293512516,16.1875766094065,-0.00169581882953922
6.5,8.57405662724329e-05,NaN,NaN
15,1.66159717203944e-05,NaN,NaN
20,2.99121721300941e-06,11.2142788150428,NaN
25,NaN,NaN,0.154960551623247
30,-7.29084071104316e-07,NaN,NaN
35,2.10902779523096e-06,11.3374354409298,NaN
45,-3.72941885027991e-06,NaN,0.141645715722068
55,-1.54914508095192e-06,8.54883411172463,NaN
70,-1.28437241510243e-06,NaN,0.112782889198099
80,NaN,9.80968544123048,NaN
85,-1.76663149520396e-06,NaN,NaN
100,NaN,9.81989313055997,0.0875291172378715
150,NaN,12.4371335779614,0.0675425995563032
200,NaN,16.8534195402244,0.0514894999323273
250,NaN,14.9588070688275,0.0348316781793196
300,NaN,14.5592828094892,0.011566305682514
350,NaN,NaN,0.0120645284777667
400,NaN,16.580174468971,NaN
450,NaN,NaN,0.00637085769608593
