t,input_il6,Compound_2_Obs
63,0,-0.0234430289378355
63,0,0.0397406673688552
63,0.0005,-0.0340061311078929
63,0.0005,-0.00384860562115239
63,0.0005,0.00908690649614648
63,0.0005,0.0203768724746458
63,0.005,0.00147532070776554
63,0.005,0.0311185203762858
63,0.005,0.0586862992950708
63,0.005,0.0643734715651463
63,0.05,-0.0700020749335976
63,0.05,-0.0381506303816674
63,0.05,-0.0149172835383215
63,0.05,0.011749428499185
63,0.05,0.013711972217402
63,0.05,0.0358116523662871
63,0.05,0.0511639106451355
63,0.05,0.0841930094431413
63,0.1,-0.0270189266390312
63,0.1,-0.0149559836073502
63,0.1,-0.0135817215183571
63,0.1,0.028436041084871
63,0.5,0.00520877070480629
63,0.5,0.0269152328073597
63,0.5,0.0342877026543786
63,0.5,0.05372534487522
63,1,-0.00339206439928492
63,1,0.0491988242305221
63,2.5,-0.00037541752279132
63,2.5,0.070088642906513
63,5,0.0744238439956982
63,5,0.0760396034838619
63,5,0.081028505217415
63,5,0.0817821386209472
63,5,0.0881957442568552
63,5,0.0928273861583157
63,5,0.12522275187872
63,5,0.127828105466708
63,10,0.243050960711402
63,10,0.281509215092507
63,25,0.426013218671917
63,25,0.504666081716053
63,50,0.670245723045164
63,50,0.696945092392977
63,50,0.70132546547499
63,50,0.706554573297635
63,50,0.720021951964205
63,50,0.737428950838583
63,100,0.811070435634973
63,100,0.836787082267545
63,100,0.862659103700433
63,100,0.873941343220957
63,200,0.866659561798449
63,200,0.889590441850045
63,200,0.898561964681897
63,200,0.899123244665475
63,200,0.916798619587581
63,200,0.924840261061821
63,200,0.931288246210987
63,200,0.935382843382549
63,500,0.946751527596384
63,500,0.947369816987886
63,500,0.961633931595093
63,500,0.992084142221245
63,500,0.999356804665865
63,500,1.03338935973095
