t,nSOCS3RNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.00151414461393344,14.3503919080323,0.0265173138347475
15,NaN,11.3391744026745,0.286870080168034
20,0.0560912208372566,NaN,NaN
30,NaN,9.36172018968225,0.636193117582109
35,0.0732002416792867,NaN,NaN
45,NaN,10.0045179676677,NaN
50,NaN,NaN,0.75125219713282
55,0.0623311704603694,NaN,NaN
65,NaN,9.91724651327031,NaN
70,NaN,NaN,0.765851633789461
80,0.0573023714711799,NaN,NaN
85,NaN,12.4922165067385,NaN
90,NaN,NaN,0.670460568139177
100,0.0535572919966077,12.6173585009628,0.690455278803719
150,0.0403700454087153,12.1720406715544,0.539089598275677
200,0.0415400845129994,12.1329306201475,0.533204377548037
250,0.043366020825871,12.8708740560622,0.534137645382155
300,0.0394365488889648,NaN,NaN
