t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.274638560365791,0.00442085729171652,17.112401801649,0.0449872858311209
15,NaN,NaN,10.1262654725895,NaN
20,0.13922179652486,0.0411783176790862,NaN,0.160259351480413
30,NaN,NaN,11.6272447661379,NaN
40,0.136531772789405,0.0555020263832166,NaN,0.5431677326536
45,NaN,NaN,13.5655984626522,NaN
60,0.129821488806377,0.0588599560870968,11.535275272133,0.615485580146501
80,0.109615848652764,NaN,11.3427411148807,NaN
85,NaN,0.0466462848086033,NaN,0.5227761335468
100,0.0993569433767393,0.0407671236253163,12.7193532960633,0.564664186702836
150,0.0948964129807644,0.0416487722544597,12.8400662594455,0.484618567247328
200,0.0903700851398485,0.0417427314797225,12.608928070659,0.523833060685657
250,0.0966489208619584,0.0371547854615767,15.2487731769058,0.463121052128361
300,0.101685517783831,NaN,NaN,NaN
350,0.0977083851451367,0.036115443148555,NaN,0.436237151273007
