t,input_il6,Compound_2_Obs
680,0.1,-0.0115214931870845
680,0.1,0.0292237646000593
680,0.5,-0.00164021216866856
680,0.5,0.0158276489164693
680,1,0.00450418913698592
680,1,0.00460368075340206
680,2.5,-0.00594135430312411
680,2.5,0.0175264696828956
680,5,0.031340291883552
680,5,0.0521483079307394
680,10,0.0415277459330568
680,10,0.0417607731178603
680,25,0.143856718061617
680,25,0.163536672395889
680,50,0.25578968727215
680,50,0.265146844772571
680,100,0.358902781671761
680,100,0.360839430562139
680,500,0.558770215375853
680,500,0.564487973233863
