t,input_il6,nSOCS3RNA2_Obs
25,0.1,-0.00103506846777009
25,0.1,-0.00171678405551246
25,0.1,0.00189604410186098
25,0.1,-0.0023086643829425
25,1,-0.00173557252482992
25,1,0.00390716737156922
25,1,0.000992423089938277
25,1,-0.00176006867675875
25,5,0.0101846871599156
25,5,0.0102586651784678
25,5,0.00753290027989456
25,5,0.0110994432981912
25,10,0.0788650941437252
25,10,0.0768821885068485
25,10,0.0798719366300481
25,10,0.0771830707138327
25,50,0.000302833694141513
25,50,0.000182477188264098
25,50,0.00831181894727077
25,50,0.00536542486493973
25,100,0.0521221362216212
25,100,0.0545283894475949
25,100,0.0504656450487574
25,100,0.0572615497844004
25,500,0.103275501740734
25,500,0.106933669448957
25,500,0.104135954810061
25,500,0.102279391342669
