t,nSOCS3RNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000591475491537549,16.8141096288786,-0.00828543763061273
25,0.00352128594345039,14.47736217372,0.026573349693656
45,0.00963600638856602,14.2658846039063,0.0933736259300464
70,0.0108459740390148,16.0176343291194,0.123727345161442
95,NaN,14.3268351162376,0.124375023206891
100,0.0106619376693146,NaN,NaN
150,0.0100711471303811,12.7377149860699,0.134733819578217
200,0.010191709396646,14.9298451070433,0.115390451063362
250,0.00906989871665095,14.6264957874735,0.136294195593716
300,0.0096208579952496,17.361569619738,0.104697375450407
350,0.0104274812048806,15.8585804814086,0.113407883689407
450,0.00864495021947942,13.5899019268832,0.126703317254489
