t,pSTAT5_Obs,Compound_1_Obs,Compound_2_Obs
0,-2.59362599397473,16.1728301354861,172.503190013337
10,52.0635530410997,-67.3468927489908,188.224437348617
20,NaN,129.956997997909,181.909401836642
25,73.9181268018592,NaN,NaN
30,NaN,-3.63178779469234,NaN
35,80.3271552220319,NaN,166.27123802176
40,NaN,265.729047268448,NaN
45,NaN,NaN,173.418433830127
50,75.1642839743972,NaN,NaN
55,NaN,300.144290020784,NaN
60,NaN,NaN,178.121268526668
65,87.6041628906047,NaN,NaN
70,NaN,501.382149521932,NaN
75,NaN,NaN,176.597637801565
80,84.328398182425,NaN,NaN
85,NaN,667.643553504602,NaN
95,79.4371267985951,NaN,152.906942303024
100,73.2065752344894,807.641388458312,167.857848074904
150,63.9744357118087,1241.56423174467,187.466762902267
200,67.2750874175575,1778.00004158449,190.939621145994
250,66.0545768230361,2088.64631179858,167.968256498176
300,55.061101767401,2241.76132167972,NaN
