t,IR1in_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00320305642439706,0.00434105673657281,0.00189453167053502
7.5,NaN,0.620350404568045,0.614686951884508
10,0.0812991625382521,NaN,NaN
15,NaN,0.536624297688762,0.567617092879586
20,0.0964712047962566,NaN,NaN
25,NaN,0.477142808060049,0.537531656137801
30,0.0993573217750574,0.448185585197835,0.534936191864365
40,NaN,0.451029937241611,0.537349086104326
45,0.0893439204164109,NaN,NaN
50,NaN,0.421230587847206,0.486262166143538
55,0.0892596519972379,NaN,NaN
60,NaN,NaN,0.43307139656593
65,NaN,0.379084042905217,NaN
70,0.0828170578113507,NaN,0.433104540712914
80,NaN,0.373905186057813,NaN
85,0.072395407407674,NaN,0.381369179340196
95,NaN,0.372595065945447,NaN
100,0.0716878353873822,0.334258928005963,0.370164016637492
150,0.0557574282823117,0.257459023159984,0.349508189130432
200,0.0419785868027655,NaN,0.245778105621834
