t,Rec1_Obs,InsulinFragments_Obs
0,70.586550848272,10.1073204320572
8,NaN,7.42954817944202
9.5,61.7234515987305,NaN
15,NaN,39.9307283835567
20,62.4155461309753,NaN
25,NaN,59.9992715386197
30,59.0455015928526,NaN
35,NaN,105.708831914913
40,58.5572345670513,NaN
45,NaN,137.688486233274
50,62.4161938989152,NaN
55,NaN,172.439342193164
65,61.8370623520617,NaN
70,NaN,234.675393249409
80,61.7313634634317,NaN
85,NaN,275.519680975358
95,62.9123698516977,NaN
100,62.6850823563561,333.098154177571
150,64.4837682182411,462.831487558241
200,63.3330870792798,554.632320177156
