t,Rec1_Obs,IR1in_Obs,InsulinFragments_Obs,Compound_2_Obs
0,73.2238347358941,0.520278912438031,6.08713027893714,2.31958172551905
3.5,NaN,NaN,NaN,376.80631995768
7,NaN,NaN,NaN,318.876081831299
7.5,22.4870230939268,NaN,49.282545300626,NaN
8,NaN,30.1688110559043,NaN,NaN
10,NaN,NaN,NaN,278.984097253585
15,22.416069004654,33.8361397077313,198.424072067834,258.134216219113
20,20.5568974746429,NaN,NaN,252.333213148749
25,NaN,34.1444672752933,341.77425390628,260.943872047715
30,21.4913400030979,NaN,564.735527971955,238.250140889744
35,NaN,35.6371245033221,NaN,244.576039768293
40,22.3562589237697,35.0026671545141,628.288466414607,NaN
45,NaN,NaN,NaN,247.335723968763
50,22.658623103628,NaN,872.05210086858,NaN
55,NaN,33.8569843077643,NaN,235.429686950154
60,20.938837619075,NaN,1122.28747986844,NaN
65,NaN,34.8994405845652,NaN,235.544584346907
70,22.8904448532033,NaN,NaN,NaN
75,NaN,NaN,1331.37719043719,NaN
80,NaN,35.1443877143741,NaN,NaN
85,21.1817367434153,NaN,NaN,NaN
90,NaN,NaN,1656.94138803023,NaN
95,NaN,34.2132339379016,NaN,NaN
100,23.8495807232116,32.3516038905728,1817.10394772756,NaN
150,25.2374930088611,32.1430627992921,2725.87932585206,NaN
200,27.0867317517352,32.6729023695172,3501.70667642748,NaN
