t,Rec1_Obs,IR1in_Obs,InsulinFragments_Obs,Compound_2_Obs
0,67.5132266867437,0.000448580566028146,0.3418646861097,-0.0126468292033631
6.5,NaN,NaN,NaN,6.04252595704446
8.5,NaN,NaN,2.92099193019858,NaN
9,NaN,0.711348160609974,NaN,NaN
10,71.3211046306704,NaN,NaN,NaN
15,NaN,NaN,1.93906441108961,5.73354384003016
20,73.9706254399211,0.926608792768315,NaN,5.42413399322701
25,NaN,NaN,6.40100327241706,5.46129334153082
30,71.5333326265144,0.953808203531057,NaN,NaN
35,NaN,NaN,11.2989887298992,4.91084950836091
40,NaN,0.904203921183312,NaN,NaN
45,69.0242055987231,NaN,14.955700817762,4.79443377865889
50,NaN,0.889513281994842,NaN,5.02971717991936
55,72.1219453834893,NaN,NaN,NaN
60,NaN,0.874974010958154,19.7802624425242,NaN
65,NaN,NaN,NaN,4.66057825028911
70,72.8916201649216,NaN,23.8866996524587,NaN
75,NaN,0.810378999131155,NaN,3.948364243986
90,73.5513345521891,0.736118106781091,31.7079385379096,3.90404523536862
100,73.0814628406472,0.675684555503795,32.5024043407121,3.83852165073181
150,73.701535781091,0.521592460722681,49.0729759100239,2.92263924398298
200,69.8591341726381,0.438755910967087,59.6916428778872,NaN
