t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,7316.40889270423,0,12.6953510940199
2.5,NaN,NaN,174.156066058563
3.5,1122.35786296201,115.731967066699,NaN
5,NaN,NaN,402.745231680696
6.5,679.913295240375,NaN,NaN
7,NaN,134.682582287683,NaN
8,NaN,NaN,337.50247711598
10,1322.92068885048,2194.27341465206,942.268719275022
15,32090.8750494889,18987.8097116357,55640.4880898104
20,14918.1720938906,25109.3598135115,23535.9845273936
25,14228.9898672977,30251.7650181253,17638.322568688
30,8759.45195788087,NaN,7218.69692558458
35,6487.56962064589,NaN,6385.89914878155
40,4278.08614011409,NaN,3785.72767546166
50,2105.98048321999,NaN,NaN
55,2403.39681123916,NaN,NaN
70,1152.23952124762,NaN,NaN
