t,JAK2_Obs,pJAK2_Obs,STAT5_Obs,CD274mRNA_Obs
0,2.76178765169367,0.0098571662560257,159.42774293434,1.06132181067698
10,NaN,NaN,109.242556708441,NaN
15,0.273999097272446,2.22153742515595,NaN,24.1278262625599
20,NaN,NaN,57.4737305545759,NaN
25,0.232594865269536,2.46929129837738,NaN,NaN
30,NaN,NaN,NaN,80.5561034254636
35,NaN,NaN,32.1853704789309,NaN
40,0.377826318633128,2.42436753204914,NaN,NaN
45,NaN,NaN,26.9198924024963,164.564383467573
55,0.448676940360717,2.40089333540424,NaN,NaN
60,NaN,NaN,27.3628991888938,NaN
65,NaN,NaN,NaN,294.806368592166
75,0.587945032521989,2.16787196253918,29.3800514943827,NaN
85,NaN,NaN,NaN,384.609091821904
90,NaN,NaN,30.845678181724,NaN
95,0.65160083181932,2.18540089156784,NaN,NaN
100,0.713958366369472,1.98014184031004,31.1803901761966,440.51962893341
150,0.800364611972901,2.06540082764918,35.2627479438578,697.250119771736
200,0.860365687297548,2.13737030956769,34.3253534548739,961.463353813903
250,1.08581964980357,1.75145717931978,37.8625410361091,1350.19012936191
300,NaN,NaN,32.3527797271398,1580.5071193387
