t,JAK2_Obs,Rec_i_Obs,Rec_Obs
0,2.50621642474801,285.736622401972,1.28301883200665
3.5,NaN,NaN,2.95845735693328
4,NaN,296.423536989389,NaN
5.5,2.97075949787038,NaN,NaN
7,NaN,NaN,3.71005775695938
8,NaN,279.659058881433,NaN
10,2.57638606169109,NaN,3.48297101274829
15,NaN,258.367855527053,4.03303291069466
20,3.08203973683519,NaN,4.26045920533089
25,2.55332333708144,263.368845249414,4.46472998470562
30,NaN,252.39518376463,3.87575669498717
35,2.87549643419289,297.409531884653,NaN
45,NaN,272.951500171069,NaN
55,NaN,285.554465472235,NaN
70,NaN,253.232396751162,NaN
