t,Rec_Obs,JAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs
0,1.17431788970607,3.94498398148783,198.522228311525,1.09646849580085
10,1.76819186986711,0.677034498581589,201.78764043128,13.0157467400273
20,NaN,NaN,210.284732340233,NaN
25,1.29290194460306,0.427362446535719,NaN,88.0525776989022
35,1.5788522299946,NaN,57.9287929762433,NaN
40,NaN,1.46263632265334,NaN,253.957664195174
45,NaN,NaN,37.1028483199088,NaN
50,0.7245564460524,NaN,NaN,254.380203892198
55,NaN,0.743122512417162,NaN,NaN
60,NaN,NaN,54.4764131544283,NaN
65,0.842047148271215,NaN,NaN,NaN
70,NaN,1.30328848456816,NaN,585.707392706897
75,NaN,NaN,87.3938291228629,NaN
80,4.42555646576742,NaN,NaN,NaN
85,NaN,5.3576022843082,NaN,704.920959471824
95,2.77363320650752,NaN,48.5501247726667,NaN
100,1.08397508606881,2.36422101244325,23.675725141475,548.571040600144
150,2.27154725961583,1.97664610536696,64.4209646581384,1911.26937668064
200,1.96606298453334,1.98656392532172,127.105867245127,6346.0087518501
250,1.76849629487166,1.89227083432515,53.3991276750086,1778.14102383245
300,3.02114077314905,NaN,82.6335285173055,3538.72193467871
