t,Rec_i_Obs,IL13_Rec_Obs,JAK2_Obs,DecoyR_Obs
0,189.517622309195,7.28440400947186e-08,5.07267335021657,0.42679235081253
3.5,NaN,NaN,NaN,0.0431201024359026
7.5,NaN,NaN,NaN,0.0024308632816092
10,193.780293579356,NaN,0.0668285673784731,0.001976127135593
15,NaN,NaN,NaN,0.000245477317564029
20,NaN,4.97664015162738e-05,NaN,8.03037413551891e-05
25,387.474519624612,NaN,0.119364104654218,NaN
30,NaN,NaN,NaN,0.000211333293965918
35,NaN,8.61314146468364e-05,0.0780941871376151,NaN
40,223.241417525448,NaN,NaN,NaN
50,NaN,NaN,0.408737917226634,NaN
55,303.567369075771,NaN,NaN,NaN
60,NaN,5.85414320627552e-05,0.55799983353274,NaN
70,132.537223653593,NaN,NaN,NaN
80,NaN,8.52538896601848e-05,0.440201787110986,NaN
85,229.322676335987,NaN,NaN,NaN
95,NaN,NaN,0.486477476308443,NaN
100,115.586924318078,0.000247994099526696,0.604020950253161,NaN
150,465.771121659516,0.000182070853433062,1.41153320871533,NaN
200,244.885129791945,7.44200090252786e-05,1.37785129654675,NaN
250,365.855460912057,0.000132202012074899,1.28927240306039,NaN
300,148.248394842201,NaN,NaN,NaN
