t,Rec_Obs,Rec_i_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,JAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,SOCS3_Obs
0,1.89748091390157,217.659545505614,7.36689575693985e-08,0,4.18899769666144,120.075070555202,15.1911232809113,0.453202650834841,0
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110475391594524,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13201444854181,NaN
10,NaN,NaN,NaN,0.595779119823129,NaN,105.878506963248,15.8381863346561,0.054238099902352,0.508179625100858
15,2.18403941255717,260.774984313094,NaN,NaN,0.146811684994825,NaN,NaN,0.0389464564488669,NaN
20,NaN,NaN,3.35615705847241e-05,NaN,NaN,77.7862175969998,NaN,0.0151415485298267,NaN
25,NaN,NaN,NaN,0.371898761493012,0.13477365818525,NaN,93.2452573081453,0.0114256362995669,10.7644119711826
30,2.50017835373153,71.0102603688039,NaN,NaN,NaN,NaN,NaN,0.00485355703310288,NaN
35,NaN,NaN,5.10416293558268e-05,0.202890893965508,NaN,25.442822631378,496.115054533155,0.00717452369023911,NaN
40,NaN,NaN,NaN,NaN,0.616219669333587,NaN,NaN,NaN,20.2379196443757
45,2.50528808455903,106.908619529003,NaN,NaN,NaN,76.4951889740303,650.499696636241,0.00148976870656218,NaN
50,NaN,NaN,NaN,0.420483663443355,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,3.32333889245649e-05,NaN,0.795695585197995,NaN,NaN,0.000781484504924726,37.8479862691493
60,1.05677086159085,141.171070757865,NaN,0.309421628511227,NaN,44.2643729960881,594.373167167913,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000168261317863073,NaN
70,NaN,NaN,NaN,NaN,0.313130975127125,NaN,NaN,NaN,52.1198687949973
75,NaN,105.073872954839,NaN,0.506250844729198,NaN,39.9419314700262,482.150755602656,NaN,NaN
80,1.01595637962353,NaN,5.77017182471982e-05,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.0558315404269
90,NaN,NaN,NaN,0.251406802633987,0.803400616572536,NaN,NaN,NaN,NaN
95,NaN,412.786770126233,NaN,NaN,NaN,85.4210938908504,1100.86551743322,NaN,NaN
100,2.50646015006637,449.955177792754,4.50363710508072e-05,0.387831392415941,0.525372233675947,138.681543673769,4052.98209521089,NaN,55.5342038618644
150,1.27980818935158,221.132513894717,0.000119776693556097,0.29754385770006,1.11195994050268,36.1038859412923,1017.50122206527,NaN,130.39697257272
200,0.695478484027629,215.257218753833,6.27606830302648e-05,0.141959974596283,0.71366709207925,71.6917061534716,2687.15314299136,NaN,115.79339588571
250,0.821976421240402,207.127360648587,0.000129454913580596,0.170363442021187,1.41755910551815,64.4039654153407,2413.48178649783,NaN,143.277168061282
300,1.12118229754233,NaN,9.00397919349633e-05,0.43865826883654,2.13611872426232,110.49270541655,3691.39207479259,NaN,161.4900975705
