t,Rec_Obs,Rec_i_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,DecoyR_Obs,SOCS3_Obs
0,0.476213074598701,330.640253180043,5.22818613505238e-18,0,0.537885569379258,0
3.5,2.72823779698398,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,0
5.5,NaN,NaN,8.35596641785616e-18,0,NaN,NaN
6,NaN,NaN,NaN,NaN,0.324141925587925,NaN
6.5,NaN,260.378170826765,NaN,NaN,NaN,NaN
7,0.908351342974933,NaN,NaN,NaN,NaN,NaN
10,1.8664151354031,NaN,1.59529913832467e-17,0,0.419977729782458,0
15,1.24039519506398,488.184432545232,NaN,NaN,NaN,0
20,1.61533684719167,183.215785086007,9.20750266515903e-18,0,0.279587976661066,NaN
25,2.95959624828028,NaN,1.3519073065699e-17,0,NaN,0
30,NaN,123.733202512131,NaN,NaN,0.308833918766875,0
35,2.00506216298665,NaN,9.21361255141533e-18,0,0.330004800311788,NaN
40,NaN,195.944884530867,NaN,NaN,NaN,0
45,1.96607790227686,NaN,NaN,0,NaN,NaN
50,NaN,365.922705476824,NaN,NaN,NaN,0
65,NaN,100.074010257602,NaN,NaN,NaN,NaN
80,NaN,176.494324196211,NaN,NaN,NaN,NaN
