timepoint,Glu_Obs,Compound_1_Obs
0,4.01322369214101,20.2331059149924
100,10.8423495435432,NaN
200,49.1318745872271,NaN
300,0.88837786612687,NaN
400,6.43094755562508,NaN
450,NaN,9.0333512975882
550,29.4617114990633,NaN
650,2.44057931021937,NaN
800,10.099195863871,NaN
950,NaN,5.94457847650888
1000,12.13734062737,NaN
1500,0.691189210748623,3.19865888049096
2000,0.0141465713038002,17.3239055470776
2500,0.000288615500388654,21.400301753136
3500,NaN,4.0179244444037
4500,NaN,2.05280864563641
5500,NaN,0.906699176160718
7000,NaN,1.60186240510061
8500,NaN,10.2451988564334
