timepoint,Glu_Obs,Compound_1_Obs
0,17.3145164988679,18.344159194597
300,21.0320618544165,NaN
400,NaN,12.0744668237992
650,20.0927758310472,NaN
800,NaN,11.1220141485298
1000,13.6453648904711,30.002320917042
1500,33.4119413331888,6.49335338007847
2000,7.9261131645608,37.6087532638399
2500,3.90196160925876,249.408607769323
3000,1.24448982047143,NaN
3500,NaN,16.4181931131005
4000,0.828199232667385,3.97994406298347
4500,0.00521399184714127,NaN
5000,NaN,40.5697373514298
5500,0.0442262819504144,NaN
6000,NaN,5.66137269677708
6500,0.0181474211924503,NaN
7000,NaN,4.81558610322843
8500,NaN,0.929711461063945
