timepoint,Glu_Obs,Compound_1_Obs
0,7.91049083613903,1.50139642358314
40,NaN,NaN
85,1.27360565083577e-84,NaN
150,7.16636983445061e-90,NaN
200,8.30954990166824e-86,NaN
250,1.08124907969377e-79,NaN
350,4.77824168835288e-65,NaN
400,8.68747386502088e-63,21.4844051035359
800,NaN,6.71702375409178
1000,NaN,3.28381739754227
1500,NaN,13.6312163882994
2000,NaN,18.6283069514471
2500,NaN,18.0450015412714
3500,NaN,27.919832743715
4000,NaN,10.5611157557902
5000,NaN,12.8263658015492
6000,NaN,11.1323179947228
7000,NaN,15.6391050888991
8500,NaN,1.45872437775001
