timepoint,Glu_Obs,Compound_1_Obs
0,7.80693168314724,33.2996064324729
350,4.11789266442739,NaN
400,NaN,5.62263056340417
650,23.1900886524351,NaN
800,NaN,15.1616456242906
1000,27.7746643522845,NaN
1500,20.2371599835305,6.52523806741089
2000,4.11488394485767,NaN
2500,16.0344394684565,55.4445224116013
3000,NaN,16.1869520325407
3500,4.78617156629277,3.77469749845047
4000,37.3791554883854,NaN
4500,21.767465388882,7.46647203813118
5500,0.295497940260477,2.50857088794862
6500,0.660669121588066,3.32567997480275
7500,NaN,0.954654091343458
