timepoint,Glu_Obs,Compound_1_Obs
0,5.48122805792633,5.19389653697165
100,28.8857889754401,NaN
250,22.5977588365749,NaN
350,94.4158944969969,NaN
400,NaN,4.44913742440331
500,2.69576703811923,NaN
650,6.47934625349933,NaN
800,NaN,2.35080509608545
850,8.05076161562864,NaN
1000,18.1241730711465,0.569293087054523
1500,2.14542419530717,9.36908230852271
2000,0.136930503402681,15.3658267456851
2500,0.0482976382402231,0.569238201016223
3500,NaN,4.64845831637785
4000,NaN,4.40444372436672
5000,NaN,0.510650676895626
6000,NaN,13.6221336243563
7000,NaN,1.3480727683988
8500,NaN,0.87463064696447
