timepoint,Glu_Obs,Compound_1_Obs
0,11.9688486669583,6.83227555084994
400,61.9196900145213,NaN
550,NaN,0.423859460523104
800,12.0631960538481,NaN
1000,NaN,133.076678181316
1500,10.6541369959003,5.7055324870889
2000,0.684461995293101,NaN
2500,NaN,4.23150126779226
3000,7.85877892118459,10.0561800469966
3500,0.813754017151245,NaN
4000,0.317353770225816,23.9156282336112
5000,0.976383662912329,2.58516001402356
6000,0.948067839235428,NaN
6500,NaN,1.52241832341347
7000,0.228656916822169,NaN
8500,0.0290382384144387,NaN
