timepoint,Glu_Obs,Compound_1_Obs
0,22.7893591372975,3.17392865972359
150,7.94220513209847,NaN
250,28.4813894409066,NaN
400,16.5525353544377,17.6983356966414
550,2.24450240534748,NaN
700,21.2576188946571,NaN
800,NaN,1.73306838322279
850,6.61143947335603,NaN
1000,2.42152678353698,7.75820816430857
1500,0.231132421927587,13.6068281814741
2000,0.0930142310967308,21.7867648622774
2500,0.00451567958495291,NaN
3000,NaN,10.4582821786123
3500,NaN,0.698474235006838
4000,NaN,13.3008571548043
5000,NaN,8.97428527263645
6000,NaN,2.26048464818845
7000,NaN,1.53758835668003
8500,NaN,0.628631952234277
