timepoint,Glu_Obs,Compound_1_Obs
0,31.5917309618405,13.5499146323906
100,9.52182976803617,NaN
200,5.95592702182955,NaN
350,0.998754461893482,NaN
450,3.50083452618906,NaN
500,NaN,19.3992339671677
600,5.02421728514842,NaN
750,3.78660846804952,NaN
900,2.61235066911795,NaN
1000,2.3462980172557,13.9409380134745
1500,0.0281329220068567,2.35172248019553
2000,0.0111462433932463,4.69348275192602
2500,9.29652802367646e-05,NaN
3000,NaN,4.92273571339612
3500,NaN,0.689051719716695
4500,NaN,0.344016212231715
5500,NaN,1.45354725177747
7000,NaN,0.799572259448896
8500,NaN,3.75118999306364
