timepoint,Glu_Obs,Compound_1_Obs
0,7.90167589365993,12.8346542974412
40,NaN,NaN
85,1.4289580153897e-84,NaN
150,8.25269788978778e-92,NaN
200,1.52671603264708e-99,NaN
250,7.62996102042788e-98,NaN
350,NaN,NaN
400,NaN,14.242172229928
450,4.71945217973525e-82,NaN
850,NaN,16.5568019536841
1500,NaN,38.3239731416647
2000,NaN,2.65234939816895
2500,NaN,0.409986924222605
3000,NaN,8.95958208637288
4000,NaN,0.926364048255663
4500,NaN,0.462520661740034
5500,NaN,1.59900874384383
7000,NaN,12.8085361810303
8500,NaN,1.76413607260122
