timepoint,Glu_Obs,Compound_1_Obs
0,75.5069202200472,27.9005338915932
100,14.7268406626356,NaN
200,3.78573520453136,NaN
300,1.25235778688366,NaN
450,3.13670312439664,NaN
500,NaN,7.239346247443
550,2.06640913188639,NaN
700,0.407697293650715,NaN
900,0.340543851104932,NaN
950,NaN,7.88546436636513
1000,0.142867783795381,NaN
1500,0.00286958448558184,8.41437888960195
2000,8.15084387033075e-06,4.77815558237767
3000,NaN,0.595981079585598
3500,NaN,17.3836482067147
4500,NaN,17.3563765269085
5500,NaN,1.52999535452876
7000,NaN,0.869371286987469
8500,NaN,8.47021197002138
