timepoint,Glu_Obs,Compound_1_Obs
0,33.6893532991083,10.1935493206609
40,1.63734171385155e-21,NaN
85,NaN,NaN
150,4.73163170847352e-14,NaN
200,2.51859496361736e-21,NaN
250,6.42762000952806e-20,NaN
300,NaN,NaN
400,NaN,15.8998438151098
500,NaN,NaN
800,NaN,91.8816466187951
1000,NaN,22.5432609303048
1500,NaN,69.377797703347
2000,NaN,7.22168825456216
3000,NaN,166.857784253779
3500,NaN,4.9389288957347
4000,NaN,25.2856884610791
5000,NaN,4.90012637057563
6000,NaN,9.38650237738621
7000,NaN,5.34927830164745
8500,NaN,11.0507210643887
