timepoint,Glu_Obs,Compound_1_Obs
0,27.1373978306741,6.38374681697693
400,14.2522759733669,1.15972041381925
800,8.92882148036927,78.4856338666776
1000,NaN,13.626164412189
1500,7.356492747318,5.82778034134011
2000,4.62402421385958,0.683294731688429
2500,NaN,6.78271725086099
3000,6.52872392091737,NaN
3500,2.30804388499195,10.6989971852498
4000,NaN,3.89163061906903
4500,6.02640225600697,NaN
5000,NaN,80.0875944062146
5500,2.33861647205837,NaN
6000,NaN,4.57942916000091
6500,0.42939604800849,NaN
7000,NaN,0.462712816798499
8000,0.0411691536095427,NaN
8500,NaN,15.8067511103604
