timepoint,Glu_Obs,Compound_1_Obs
0,5.5015986750109,1.66679686137818
150,2.1662304942107,NaN
350,1.94264590773715,NaN
400,NaN,52.1902507500486
500,1.16784252809213,NaN
700,82.1042517527036,NaN
800,NaN,41.7330740228999
950,8.32290144996452,NaN
1000,27.9977589652843,NaN
1500,12.0241316271052,20.9921814987944
2000,0.187995562965988,14.9020421497519
2500,0.00943862072579552,NaN
3000,0.00660620610834866,5.9057644957326
3500,NaN,1.58391346302432
4000,NaN,15.4088476620038
5000,NaN,2.9654638490555
6000,NaN,2.52442262547825
7000,NaN,3.9111336213786
8500,NaN,2.88167797388016
