timepoint,Glu_Obs,Compound_1_Obs
0,69.9617866899243,19.8805184852199
400,30.7670564728655,NaN
450,NaN,1.92106186253494
850,18.8345747311028,NaN
900,NaN,36.0562384556724
1500,10.3674942783727,4.98681315694991
2000,12.4753320673427,41.8610328515291
2500,2.58296929240212,189.635616990452
3000,5.93858338345231,12.2903649447431
3500,1.06260487887553,NaN
4000,8.42501997153753,11.9060336848768
4500,NaN,48.5811706914029
5000,1.29519158671096,NaN
6000,0.98255683731985,4.96840890472778
7000,0.0886236054539971,1.05485808039019
8500,2.55555666168599,1.29769258914366
