timepoint,Glu_Obs,Compound_1_Obs
0,10.490175501803,16.5995977486611
400,NaN,2.51699584813067
450,5.88139081999189,NaN
800,NaN,1.54813806502246
900,48.4080380881412,NaN
1000,NaN,0.823959139640687
1500,9.05040952571452,14.0642588748752
2000,4.65723923315917,11.6987324558382
2500,1.9833946812755,6.91045019303879
3000,31.7552347907018,NaN
3500,NaN,4.27330881399595
4000,7.15879072606542,5.22040508803703
4500,4.14710343631924,NaN
5000,NaN,46.1362941972547
5500,0.709380493712631,NaN
6000,NaN,16.774895999704
7000,3.40261705086517,3.21338769626573
8000,1.02241650689447,NaN
8500,NaN,38.6756954535455
