t,pSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs,nSTAT4_Obs,nSTAT5_Obs
0,0.000211402103432046,-0.00517650359023705,0.00180674246390909,0.00980108575186017,0.00540438528261048
5.5,NaN,0.113775689277332,NaN,0.0703223604508463,0.0567263052155981
6,NaN,NaN,0.119075530386542,NaN,NaN
7.5,0.00799649959572534,NaN,NaN,NaN,NaN
10,NaN,0.131050399316123,0.138708161463192,0.140268735326022,0.143467356677311
15,0.00862221622930638,0.130988330696417,NaN,NaN,0.135209733671726
20,NaN,NaN,0.129339950725157,0.130283603922367,NaN
25,0.00721526707713365,0.118791398585649,0.131572863009929,0.131077335424303,0.127617851141123
30,0.00604825027441458,0.106735125543482,NaN,0.11509787963212,0.114534583597605
35,NaN,NaN,0.0886212757676065,NaN,NaN
40,0.00289004559946937,0.0568493418954327,0.06746596907315,0.0743290613627997,0.0771801902375073
45,NaN,0.0352513435091912,NaN,NaN,0.0496718438904897
50,0.000864042771228887,NaN,0.0248999752191086,0.0318855474320237,NaN
55,NaN,NaN,NaN,NaN,0.0163487422006373
60,NaN,0.0120047407691942,NaN,0.000610527309165033,NaN
65,0.000341357952580971,NaN,0.00721490058788841,NaN,0.00742314500803809
70,NaN,0.00319280976760549,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00273499241946037,NaN
80,-8.87208901586934e-05,NaN,0.00253857065774704,NaN,0.0111993628180159
85,NaN,-0.00920369417797607,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00308439931726661,NaN
95,-4.77266331267315e-05,NaN,-0.00253039461850057,NaN,-0.00122597518169314
100,-6.13236488758936e-05,NaN,NaN,NaN,NaN
