t,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_10_Obs,Compound_13_Obs
0,0.233973126026321,31.3821972550976,28.2150798791076,0.00943165561583522,25.5503061141539,0.00906585884475413
4.5,NaN,NaN,NaN,NaN,NaN,0.00447629018644672
9,NaN,NaN,NaN,NaN,NaN,0.001835052470341
15,NaN,NaN,NaN,NaN,NaN,0.000466228384241148
20,NaN,48.4155585949439,58.3172589956184,NaN,73.0618456185151,0.000159969781838924
25,0.184702452246803,NaN,NaN,0.010246450214006,NaN,4.97038659745875e-05
30,NaN,NaN,NaN,NaN,NaN,2.14488006849393e-05
35,NaN,61.8467940316011,NaN,NaN,NaN,NaN
40,NaN,NaN,57.682532251014,NaN,70.9806138158878,1.29199567662948e-05
50,0.200664067308,NaN,NaN,0.00812405513700358,NaN,1.11725553306581e-05
55,NaN,56.5482575630583,NaN,NaN,NaN,NaN
60,NaN,NaN,67.4140363757288,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,66.924858487709,1.24310328846563e-05
75,0.105951275425479,57.3263782524767,NaN,0.0055080934898059,NaN,NaN
80,NaN,NaN,59.9382147769441,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,57.5780623794231,NaN
100,0.107840323973499,48.2591699214453,46.3592297880577,0.00506531326717028,61.6383212293262,NaN
150,0.0552310693258276,61.2529460501051,50.223589669869,0.00429633255847422,64.7071091476602,NaN
200,0.0590196817314126,51.4777956825426,44.3878142432103,0.00276985793798032,49.3138923077878,NaN
250,NaN,41.4821708357236,51.3009684898814,0.00176611243171447,40.9147429262798,NaN
300,0.0251197800362445,35.570891220619,39.6470531735153,0.00121672786714352,43.5715239388218,NaN
350,0.0185315191921291,33.9675572860476,31.2469158917373,0.000935861882251724,39.8869829563808,NaN
450,0.00970346647091704,29.2611149679363,27.0397250916613,0.000431777381369086,33.287329403416,NaN
