t,Compound_4_Obs,Compound_10_Obs
0,27.903214271223,32.8305008660649
3,29.1194671322604,30.191116805771
6,NaN,47.7699210622946
6.5,43.8369219976083,NaN
9.5,NaN,48.0745354569921
10,59.7037715044491,NaN
15,51.8097785523441,65.5556206907953
20,46.1432540571564,41.1772531831766
25,34.1684082306097,31.802906799643
30,NaN,29.6061317049666
35,27.9909132148235,32.6371913619231
40,28.1309703451009,NaN
45,NaN,26.8678847976731
50,20.2165426769345,32.6989937981548
60,24.7980980857706,30.9216545673802
70,21.9478799511332,NaN
