t,input_il6,Compound_4_Obs,Compound_10_Obs
12,0,25.5316399487638,29.9983342291362
12,0,28.5731394193134,31.8996664926227
12,0,35.2132449810539,26.1502201737981
12,15,30.0814239485127,35.7145091796528
12,15,35.0103409272772,35.050335979651
12,15,39.1028006512028,33.5085818686358
12,30,40.1857066094139,38.9952884903075
12,30,45.5282482751975,42.180301951464
12,30,47.4896338298241,54.3402722256036
12,60,42.7856176810614,59.1041072532743
12,60,53.9874967024704,58.1411237626828
12,60,56.3621012111883,67.5643048843803
12,120,55.3845528225756,56.8511015040897
12,120,57.9652689513958,66.6671252624523
12,120,72.279548011081,59.261438338762
