t,input_il6,Compound_4_Obs,Compound_10_Obs
33,0.1,30.5453074464646,24.1255742337022
33,0.1,30.0416207510417,30.5038475066629
33,0.1,29.3809148535352,29.8501748157612
33,0.1,36.7701078386887,31.0439734657988
33,1,33.2814930622699,26.1390412943572
33,1,34.8641487306946,28.2148908985438
33,1,37.1272409074877,31.1976449166814
33,1,31.2487315694933,29.8209651379417
33,5,30.7381047503698,32.4512902747972
33,5,30.2031591853563,35.5899923399004
33,5,27.9709473560184,32.660094840589
33,5,34.9335777067426,29.5329628832855
33,10,32.5673499330081,22.507935571369
33,10,26.3855315133663,26.793579737899
33,10,28.9494123408764,28.2327938698773
33,10,33.2698057851274,26.1696322351935
33,50,37.3612564411874,26.290100507748
33,50,38.123009107387,38.4737216984026
33,50,34.6974665132287,34.7915883586817
33,50,35.7394183647763,39.8479244446088
33,100,27.4644165467381,28.5467065421812
33,100,35.2347752215573,25.611437732742
33,100,28.7511231149073,25.911807242456
33,100,35.5725438270482,29.2828800159822
33,500,30.1810743790572,30.0172028837911
33,500,31.2937674272219,26.6946961580512
33,500,29.8061108228888,27.4103345747497
33,500,36.1850437733956,25.5527507718695
