t,input_il6,Compound_2_Obs,Compound_4_Obs,Compound_10_Obs
13,5,39.4610836688178,42.7447713925933,43.6794858449842
13,5,41.5566947797341,40.6589735193275,35.3211619370896
13,5,34.2162716166215,35.6347488182915,45.5100250246624
13,5,41.9148960292169,40.2373710554126,34.4916872990664
13,20,46.2099947987632,43.4027426285244,48.0289858175413
13,20,49.8293777615645,48.6156733181005,45.2341390423617
13,20,46.3933458806841,47.1131541438806,41.5162574519799
13,20,52.4248596767219,52.5353221637216,54.4008088579686
13,40,33.756635877087,31.2357260232043,36.6844010599385
13,40,32.5422224091048,31.4369537359403,28.7208804701448
13,40,28.9135128088839,34.3695258898163,35.0631024113403
13,40,26.0753719484775,36.0468975885011,30.8647334191078
13,90,48.8823746650581,60.3264964422642,60.5021413447416
13,90,53.7019891619484,59.0458725701857,68.5589490466861
13,90,49.2842484003015,60.7526666124639,47.4325312045957
13,90,63.0369212875943,54.7547903274317,53.3631856398983
