t,Compound_4_Obs,Compound_10_Obs
0,31.297420821939,25.3913301780279
6.5,NaN,30.0670945965437
8,33.2749873003749,NaN
15,34.1215221400446,40.8051027799418
20,NaN,42.8045642016475
25,41.9546979516102,NaN
30,NaN,37.2371338947671
35,32.9026384327941,NaN
40,NaN,31.1246112678838
45,39.0151616528725,NaN
50,NaN,32.4552733866009
55,31.3394184448666,NaN
60,NaN,29.2391073525627
70,32.9680360080695,NaN
75,NaN,37.3184998784614
85,30.6907666495583,NaN
90,NaN,33.4099296232765
100,32.4323468931403,NaN
150,31.3998710972637,NaN
