t,input_il6,Compound_4_Obs,Compound_10_Obs
24,0,28.6698532728146,28.4439904123014
24,0,33.4683972449688,32.8814902999454
24,5,28.5759824494437,32.9421422127276
24,5,38.8115980131222,39.7025335563688
24,10,33.9556442023695,36.7427022626195
24,10,42.0279085399802,38.0005380830811
24,20,44.9506556789738,41.1527702492724
24,20,46.1443186260159,36.6113956712866
24,40,36.4093071203284,41.6762331470658
24,40,41.2150441372811,36.9976619618179
24,80,36.3121289615758,31.2234116959447
24,80,37.6684331689757,32.7463013442223
24,120,32.9230756416771,33.0926848079749
24,120,38.185185235281,32.8632717579906
