t,Compound_6_Obs,Compound_8_Obs,Compound_11_Obs,Compound_12_Obs
0,14.166369751804,0.0207128374392185,28.2707260301359,0.0244107935144281
8,NaN,NaN,43.2325780745663,NaN
9.5,NaN,6.79727003930157,NaN,NaN
10,13.0915189204506,NaN,NaN,14.5055154526522
15,NaN,NaN,59.4101837081868,NaN
20,NaN,11.214140500821,NaN,17.795758927388
25,15.9824721866345,NaN,42.3431249000999,NaN
30,NaN,4.10026619927591,NaN,1.43164278297271
35,NaN,NaN,29.248499422493,NaN
40,13.506832192059,NaN,NaN,NaN
45,NaN,0.185148210629884,31.787384678622,0.0230440983122931
55,15.166000555268,0.021474874573447,NaN,NaN
60,NaN,NaN,31.5449821403834,0.0171259478713975
70,11.4874884426843,0.232461017841657,NaN,NaN
75,NaN,NaN,37.2992963269377,0.944822951913501
90,13.221245307882,0.720903382698158,NaN,NaN
95,NaN,NaN,34.6389263870824,0.723333325396758
100,12.9015400796605,0.469867300875943,34.4110272039787,0.299627267866223
150,13.7959756164384,0.422698381047673,NaN,0.344181314272034
200,15.1035740242807,NaN,NaN,NaN
