t,input_ruxolitinib,Compound_4_Obs,Compound_10_Obs
10,0,36.0395831365357,40.6432907282211
10,0,39.9786646192202,54.281215181131
10,10,40.8896336645793,46.928440430258
10,50,37.1056476180749,46.5642974706964
10,50,38.0482132010259,54.5946508889445
10,50,40.3149490801344,49.529427607994
10,50,43.0689401997084,32.7187726261981
10,100,35.912107978453,35.0594070564565
10,100,36.6626838195114,41.5948265453966
10,100,41.127477068736,35.7869588858901
10,100,41.3096024727766,39.0620129268308
10,200,27.3155976468961,31.7705926312835
10,400,32.2964597928543,32.3389503119361
10,400,33.8161110841849,27.1336074998206
10,500,31.4901148058932,34.7538020909666
10,600,29.8626409640824,27.3469684286577
10,800,34.4948635487681,26.7406629953739
10,1000,28.9974363462973,28.4853646628698
10,1000,34.5731926406288,35.1151490548841
10,2000,33.0428545944169,31.6266396550054
10,5000,22.0940088314193,28.8469554743476
10,5000,26.9874428942291,35.9506303032974
