t,Compound_4_Obs,Compound_9_Obs,Compound_10_Obs
0,27.0955611398491,14.3755596262405,27.782774669751
8,71.5492990923467,NaN,NaN
9,NaN,37.7200651250109,NaN
10,NaN,NaN,71.8333841021011
15,69.9763382493886,NaN,NaN
20,NaN,23.7798182497842,NaN
25,44.9811967813306,NaN,29.7230350509289
30,NaN,13.7252732602568,NaN
35,30.445162369306,NaN,26.2083536872122
40,NaN,16.8539867129605,NaN
45,23.2978746340393,NaN,NaN
50,NaN,11.8708536736292,29.0317392463015
55,31.1814346601522,NaN,NaN
65,NaN,16.2604583812662,40.1680669149235
70,44.8955060716157,NaN,NaN
85,NaN,16.5384057490273,33.4489217062592
90,31.7356876437986,NaN,NaN
100,30.4425961729949,17.2947169518987,30.416104143237
150,NaN,15.2683534348785,30.5638014989205
200,NaN,NaN,29.6859689768222
