t,input_il6,Compound_2_Obs,Compound_4_Obs,Compound_10_Obs
0,2.5,28.6387299191402,33.3766279799218,31.3691780831794
0,2.5,28.677077998063,27.0774544494294,30.5250147161077
0,2.5,28.8378141519604,32.2813279028318,35.9629372366315
0,2.5,30.3360624519058,31.5959116404449,28.7605178330643
0,2.5,30.9424324366273,29.262172282737,32.0576061835023
0,10,30.2817289499436,28.9167518466216,27.0253156787864
0,10,30.3018143852837,30.9680242488744,28.9201483183362
0,10,31.8774859256905,35.4991303837554,29.5483781920444
0,10,33.7845050874986,28.6225873406126,30.7039297611076
0,10,34.8099593599089,32.4416542458853,31.9887835022377
0,60,27.5575437948636,27.6753958684686,27.4429141444215
0,60,29.5233208987715,26.6962054040027,29.0467002462187
0,60,31.6195084965435,31.6245390422938,26.5228630870455
0,60,32.5504326767554,25.9842783872564,32.2983113422309
0,60,37.0097261521122,31.3532808489312,25.8050749636155
0,120,25.909675719668,35.6550879163511,33.4129925152078
0,120,31.1110085754112,29.2442047709439,25.1906272519953
0,120,31.32523603905,29.2924611077524,30.9101002793942
0,120,32.3374753697808,28.2972510280123,26.8619540152564
0,120,37.1515466520984,31.4101734907231,29.7334717487282
