t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_10_Obs,Compound_13_Obs
0,27.4158783118307,0.223136898426748,33.1423680752742,30.2626755394947,0.00826697160991462,27.539015738673,0.0103327952840672
10,37.4346994562293,NaN,34.6939211399079,28.4370276866499,0.0939635886597713,43.3736442053446,NaN
15,NaN,0.245070697410874,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,47.4913384109174,1.73834703068218,38.89084361547,2.57997702104018
25,34.6086585676194,NaN,41.1636971041558,NaN,NaN,NaN,NaN
30,NaN,0.162007632288215,NaN,28.531478332634,2.11910597278229,28.3220670487714,NaN
35,27.8346436367581,NaN,NaN,NaN,NaN,NaN,0.375526770319762
40,NaN,NaN,34.60680653697,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,30.7829028047137,0.0992931798018917,28.0931979664583,NaN
50,24.8838640303306,0.0434744366052301,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,30.2125552310225,NaN,NaN,30.5085622340125,0.00749019439744617
60,NaN,NaN,NaN,32.0185567488639,0.00718192473409598,NaN,NaN
65,32.757969945763,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.0721251256424654,31.3765600709934,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,36.6081892323043,NaN,31.5423424074046,NaN
80,30.8278868029367,NaN,NaN,NaN,0.110375523602641,NaN,0.141901828563354
90,NaN,0.0891119168867988,NaN,NaN,NaN,33.0159906544159,NaN
95,NaN,NaN,38.7232135774328,38.4749094277401,NaN,NaN,NaN
100,32.2085777982047,0.077740239875716,42.8104383714658,42.3423843530358,0.239421327502767,38.3396139204017,0.224378673512036
150,38.9240026588194,0.0964737855191991,33.2120523763987,35.5524947974321,0.203624330704089,40.9309917954465,0.207134222380211
200,24.3635210162893,0.0953107622943548,40.7569045251509,NaN,NaN,NaN,0.301304896162991
250,NaN,0.105534881344928,NaN,NaN,NaN,NaN,0.227566748158061
300,NaN,NaN,NaN,NaN,NaN,NaN,0.206384630416495
350,NaN,NaN,NaN,NaN,NaN,NaN,0.197024438732952
450,NaN,NaN,NaN,NaN,NaN,NaN,0.234474767154586
