t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_10_Obs,Compound_13_Obs
0,31.4905969060345,0.245305331705347,25.9736101786109,32.1814119466659,0.0101931466637556,26.9159758880502,0.0108703796885423
7.5,NaN,NaN,NaN,35.2931782740517,NaN,35.1405608657971,NaN
8,NaN,0.254197976322279,30.6145476408653,NaN,NaN,NaN,NaN
10,28.9836273661198,NaN,NaN,NaN,0.0260779959286729,NaN,0.106082364025862
15,NaN,0.249866308949263,30.3823805647483,41.0644831592192,NaN,34.8933825100081,NaN
20,36.9503314855325,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.297266837486416,39.6612108497397,40.7569722256399,0.876850518893948,39.7093875644579,0.914906363356616
30,NaN,NaN,NaN,NaN,NaN,38.4021571480116,NaN
35,37.7612494988432,0.192162641472389,32.9850518630699,34.0562373331183,0.598403217501848,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,30.1928436724333,0.267827369811482
45,30.8979901781067,0.137601894183827,NaN,29.5250406322836,NaN,NaN,NaN
50,NaN,NaN,30.5588436435789,NaN,0.0717643549020323,NaN,NaN
55,NaN,NaN,NaN,34.7929582465382,NaN,30.6132284905601,0.0447016398593498
60,NaN,0.11757065670655,NaN,NaN,NaN,NaN,NaN
65,32.6003478669426,NaN,30.6807711784422,30.1180128430347,NaN,26.8327848182118,NaN
70,NaN,0.140839320556328,NaN,NaN,0.0980506749859001,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.136354570653506
80,NaN,NaN,31.060011733504,32.1877871897447,NaN,NaN,NaN
85,34.2993026928273,0.120738062519421,NaN,NaN,NaN,36.8754806946553,NaN
90,NaN,NaN,NaN,NaN,0.159666530006906,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.139385417686851
100,NaN,0.106454269524635,NaN,40.5219266336628,0.15378215213667,38.04648964627,NaN
150,NaN,0.137122507540665,NaN,34.2546013463521,NaN,34.2525112468555,NaN
