t,Compound_2_Obs,Compound_4_Obs,Compound_10_Obs
0,35.398430889087,21.174821159779,27.0400949178382
9.5,NaN,NaN,47.2697562189434
10,38.1941109281644,35.5326794635167,NaN
20,NaN,36.3505851026983,38.8811996012304
25,27.6837718471416,NaN,NaN
30,NaN,NaN,32.0700140162069
35,27.3836536796522,26.7098221892726,NaN
40,NaN,NaN,27.5769262724938
45,NaN,28.8432408288655,NaN
50,28.0155705275308,NaN,NaN
55,NaN,NaN,27.3600560104889
60,NaN,32.9900352048995,NaN
70,27.9317938836297,NaN,NaN
75,NaN,NaN,28.2487219120368
80,NaN,29.5172165928588,NaN
90,24.458138147263,NaN,NaN
95,NaN,NaN,31.3802227333647
100,33.4639712419046,31.6503286302376,25.9648516812031
150,25.7014592829771,28.5902743210697,NaN
