t,Compound_4_Obs,Compound_10_Obs
0,30.6763589984824,28.6870408221458
20,57.5183430697291,73.279707846083
35,NaN,70.7835099161535
40,62.9820402323561,NaN
55,NaN,55.6440794581192
65,48.5781658825418,NaN
80,NaN,60.8818870005738
85,55.2356629104102,NaN
100,54.9834980433119,64.2377173890028
150,52.691494215046,52.9730630423674
200,54.8886436035079,47.8127569956281
250,43.8278741850958,38.0912630935927
300,38.3486740963867,43.878971018522
350,38.7521271835405,34.574115162289
450,27.6915760592672,31.0306456722972
