t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_10_Obs,Compound_13_Obs
0,27.7618254717609,0.267260624013511,35.2455532326648,34.2683548969186,0.0210575558614708,33.2064447558909,0.0216148016992926
8.5,NaN,NaN,NaN,NaN,NaN,51.3760120147969,NaN
9,NaN,NaN,NaN,NaN,0.955750238713068,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,6.06816041223283
10,49.9744112372445,NaN,57.2931536539748,NaN,NaN,NaN,NaN
15,NaN,0.265594281395901,NaN,55.8915139562284,NaN,54.6436976010082,NaN
20,42.1184357063908,NaN,45.8215490082633,NaN,15.0966906996677,NaN,10.8612725717028
25,NaN,NaN,NaN,32.622811984557,NaN,31.1837533336542,NaN
30,NaN,0.242961776030849,NaN,NaN,3.13533971897322,NaN,1.38806094016772
35,24.6973620821727,NaN,31.3870516709441,NaN,NaN,29.9426536729786,NaN
40,NaN,NaN,NaN,29.2719480141193,0.290044207351191,NaN,0.159724073551394
45,26.4882152906611,NaN,25.8591415879243,NaN,NaN,NaN,NaN
50,NaN,0.0232439982060347,NaN,NaN,NaN,27.1962791701997,NaN
55,NaN,NaN,NaN,29.3466015981408,0.0126820783955052,NaN,0.0108993193483407
60,28.5533232809513,NaN,29.8916340009552,NaN,NaN,30.9731040265769,NaN
65,NaN,NaN,NaN,NaN,0.0179211615240508,NaN,NaN
70,NaN,0.0450289946995459,NaN,33.2876176554292,NaN,NaN,0.162945644161985
75,37.0514571720387,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,33.3601272956654,NaN,NaN,38.2898465590024,NaN
85,NaN,NaN,NaN,42.2368519404199,0.899103529990085,NaN,NaN
90,30.1666639275048,0.0881739938205385,NaN,NaN,NaN,NaN,0.765143514747076
100,31.3072325916377,0.0691522338627313,38.090182274784,34.70510088121,0.424492452556714,36.8058512307403,0.288466029035451
150,31.8533423075372,0.065227934022336,30.1167950440845,30.7839935742341,0.570048555866715,NaN,0.367259144726012
200,33.3093686227409,0.0707363219058813,NaN,34.3094157861941,NaN,NaN,NaN
250,NaN,NaN,NaN,39.6546759441334,NaN,NaN,NaN
