t,input_il6,Compound_4_Obs,Compound_10_Obs
33,0.1,30.2144478479935,32.7546773186284
33,0.1,31.378803610097,27.040181715802
33,1,27.9776690964826,30.0677500456331
33,1,30.9408295746893,31.1590171289805
33,5,28.2010322393469,33.6500237103018
33,5,32.1425708960004,23.2823821095117
33,10,24.9901237043634,28.2723549150725
33,10,35.265388771248,29.0201315687167
33,50,33.5207540704779,29.5486157922226
33,50,34.8951559909288,36.8795113731724
33,100,38.6422877073453,33.0201825425695
33,100,40.7355039981406,36.5291003614694
33,500,27.2387275734358,37.5015965388424
33,500,28.7274235838645,27.7133642071288
