t,ppS2_ppS3_ppS3_Obs,geneE_Obs,geneI_Obs,TGFb_pRec_Obs
0,0,1.24821924386073,1.27562200636309,0.00107201666320603
30,53.0580154198776,NaN,NaN,NaN
35,NaN,NaN,0.749225581161638,NaN
40,NaN,6.61615744640325,NaN,NaN
45,NaN,NaN,NaN,0.411464098250815
55,55.3800263466452,NaN,NaN,NaN
70,NaN,NaN,0.647636583148527,NaN
80,NaN,6.08877441019008,NaN,NaN
90,61.366024771122,NaN,NaN,NaN
95,NaN,NaN,NaN,0.222731435947213
100,NaN,6.09044731868931,0.468612293058606,NaN
150,38.9785542129999,6.69424868740067,0.501113969534597,0.142021655329022
200,33.2627055359922,6.09450023143362,0.389153014560065,0.0838979535913865
250,22.5241309228101,NaN,0.324866823360578,NaN
300,NaN,6.1457945201518,0.294064891248983,0.0286469304443507
350,NaN,8.28397056739546,0.385503364247926,NaN
400,NaN,NaN,0.294771542324712,0.00832119011128352
450,NaN,7.12401323968172,NaN,NaN
500,NaN,NaN,0.284695160321688,NaN
550,NaN,4.04732799055801,NaN,NaN
600,NaN,NaN,0.439238688293493,NaN
650,NaN,2.80799549221611,NaN,NaN
