t,ppS2_ppS3_ppS3_Obs,geneE_Obs,geneI_Obs,TGFb_pRec_Obs
0,0,0.835571265505358,1.04489853731003,0.000909554533289122
35,2.47257268391799,NaN,NaN,NaN
45,NaN,NaN,NaN,0.317434338823121
55,NaN,3.95139659661062,NaN,NaN
70,2.3367821927479,NaN,NaN,NaN
75,NaN,NaN,0.799969924998077,NaN
95,NaN,NaN,NaN,0.244728047517252
100,1.94390661834099,3.7623736534767,NaN,NaN
150,1.28639539011443,2.90947519817473,1.02238880623921,0.131987858512745
200,1.32928215165137,NaN,NaN,0.0852074368154424
250,0.785250354403647,3.58889226659888,0.941956760801447,NaN
300,NaN,3.60852323328703,1.04491783645735,0.0280303263846557
350,0.286887240906841,NaN,NaN,0.015203612674099
400,NaN,3.36715164831369,0.743968951059388,NaN
500,NaN,1.96827855255725,NaN,NaN
550,NaN,NaN,0.92628343485414,NaN
600,NaN,1.98535443036242,NaN,NaN
650,NaN,NaN,0.707010738236583,NaN
750,NaN,1.42641932174041,NaN,NaN
800,NaN,NaN,0.449278770700914,NaN
900,NaN,1.05016075650314,NaN,NaN
1000,NaN,NaN,0.292826151780145,NaN
1500,NaN,NaN,0.989538335490927,NaN
