t,ppS2_ppS3_ppS3_Obs,geneE_Obs,geneI_Obs,TGFb_pRec_Obs
0,0,0.874262101101101,0.910751345104307,9.44758087550967e-05
35,2.25514056020678,NaN,NaN,NaN
40,NaN,NaN,1.09903503821173,NaN
50,NaN,3.19037079334066,NaN,NaN
60,NaN,NaN,NaN,0.286764707684492
70,2.67528565083693,NaN,NaN,NaN
80,NaN,NaN,0.92771451536722,NaN
100,1.5812506615883,3.7713662146173,0.972329527931875,0.201923126018386
150,1.40054267508024,2.45764367101202,1.10865854375138,NaN
200,1.48971820718868,3.30508167793386,0.833638269303139,0.0810849216678592
250,1.13092026952616,NaN,NaN,0.033750299162377
300,NaN,3.06770914335993,0.874506681988413,NaN
350,0.313668832998664,3.06913689325109,0.923316293844377,0.0150255630904959
400,NaN,NaN,0.867807730723487,NaN
450,NaN,2.62242649294552,NaN,0.00443534315145918
500,NaN,NaN,0.716058693296355,NaN
550,NaN,3.32329672994341,NaN,NaN
600,NaN,NaN,0.679909415669342,NaN
650,NaN,1.88387426605836,NaN,NaN
750,NaN,1.75386908572588,NaN,NaN
950,NaN,1.16076429975645,NaN,NaN
