t,Compound_1_Obs,Compound_2_Obs
0,1.017678064994,0.71622816041978
0.8,0.817391512978841,NaN
0.9,NaN,0.992797094488529
1.5,3.60490850049512,NaN
2,NaN,1.82778583957982
2.5,1.75368138119891,NaN
3,NaN,1.25443561736888
3.5,0.765766794855008,NaN
4,NaN,0.591294198307133
4.5,8.16107777456097,NaN
5.5,NaN,5.67475332730171
6,2.16953301109693,NaN
7,NaN,1.67520197261383
7.5,8.3413327529445,NaN
9,NaN,4.44760298845862
9.5,10.442171252207,NaN
10,10.8273024303761,2.23772814369419
15,5.02236467841443,1.54564928853331
