t,Epo_Obs,dEpo_i_Obs
0,1374.40410534868,0.0989037420693016
10,969.791532926742,NaN
25,762.847850987926,NaN
30,NaN,5.4698452748819
40,764.403360752882,NaN
50,564.514235575346,NaN
65,NaN,15.8357136395145
70,420.265225352546,NaN
85,365.781415534151,NaN
95,NaN,31.5662546692808
100,263.911256043777,NaN
150,143.676052971437,47.8740859585559
200,71.3274661328336,54.3666251563111
250,21.3698398893619,NaN
300,NaN,72.415952300582
350,NaN,117.99611845767
400,NaN,61.7180521872538
500,NaN,63.3810665648376
600,NaN,66.8509743508933
