t,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,0.0809401179319134,0.00818308552357858,0.00808147519292412,62.2911781062449
4.5,NaN,NaN,0.00777916766329974,NaN
5.5,NaN,0.00489672129385532,NaN,65.1819106156585
8.5,NaN,NaN,0.00636744848323604,NaN
10,NaN,0.00289006433744315,NaN,62.6169616990813
15,NaN,0.00210366602740149,0.00356139278655619,NaN
20,0.080000954913631,NaN,0.00254510754788011,63.2324011281414
25,NaN,0.0018822240563606,0.00205350224651524,63.371133815821
30,NaN,0.00176210975391115,0.00174948536494418,NaN
35,NaN,NaN,0.00176186168905013,67.4484881513317
40,0.0727095397444284,0.001786841652057,NaN,NaN
45,NaN,NaN,0.00194996235501541,65.524209951201
50,NaN,0.00187177173830774,0.00180438328829202,NaN
60,0.0571053493493019,0.00186333752089101,NaN,NaN
65,NaN,NaN,0.00194428495821962,NaN
75,NaN,0.00210362462925278,0.00189337878965414,NaN
85,0.0486663521344086,NaN,NaN,NaN
90,NaN,0.00182377682246449,NaN,NaN
100,0.0434652648977479,NaN,NaN,NaN
150,0.0336423098137022,NaN,NaN,NaN
200,0.0265458791064867,NaN,NaN,NaN
250,0.0242097173132619,NaN,NaN,NaN
300,0.0225600451328469,NaN,NaN,NaN
400,0.0196179862400383,NaN,NaN,NaN
