t,pSTAT5_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA4_Obs
0,0.138186008044446,-0.239007634337003,-0.000606925077133734,-0.0685523072933606,-0.00239367838244544
10,1.03121100311583,NaN,NaN,NaN,NaN
15,NaN,2.30778039136011,NaN,NaN,0.148302399286156
20,NaN,NaN,NaN,0.12863914663494,NaN
25,0.425409044021454,NaN,0.00215138632234441,NaN,0.00401581924460409
35,0.397988312114068,0.371097792339683,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.0057565926049437
45,NaN,NaN,NaN,0.179494158355457,NaN
50,0.374000098206606,0.938190229327307,0.00318467872612289,NaN,NaN
55,NaN,NaN,NaN,NaN,0.00351658373642937
65,0.666241932354678,NaN,NaN,0.202541877504593,NaN
70,NaN,1.58256906565582,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00281568914833262
80,NaN,NaN,0.00283959698815747,NaN,NaN
85,0.719550796951848,NaN,NaN,NaN,NaN
90,NaN,1.20082702621386,NaN,0.212177477887598,NaN
100,0.527813707198928,1.1846958376327,0.00455923500635441,0.598008847804236,0.00293611487095867
150,0.561411935270599,1.45517243097775,0.00377440516771347,0.907602048313632,0.00621330266049511
200,NaN,1.54422722569244,0.00379199838804555,0.962704604791358,NaN
250,NaN,1.58082229238139,0.00426003678320483,0.863683754414584,NaN
300,NaN,1.20261680129076,0.00368921110381228,1.02866954150595,NaN
350,NaN,1.03979939822125,0.00394324195600662,1.12575473465875,NaN
450,NaN,1.1451897292128,0.0040419175577291,NaN,NaN
