t,epo_level,EpoRJAK2_Obs
8,2.5e-09,2.90452386024813
8,7.905e-09,2.71698113998016
8,7.905e-09,2.77789377016106
8,7.905e-09,2.85611466686889
8,1.25e-08,2.65641258143924
8,1.25e-08,2.67954203455744
8,1.25e-08,2.69763189895611
8,1.75e-08,2.46680837254696
8,1.75e-08,2.54702851653469
8,1.75e-08,2.58416254675119
8,2.5e-08,2.49654032009179
8,3.95e-08,2.18824650115961
8,3.95e-08,2.22998910209948
8,3.95e-08,2.28019083039201
8,7.9e-08,1.76076862342492
8,7.9e-08,1.85803674041851
8,7.9e-08,1.86450206992265
8,1.25e-07,1.60869257635959
8,1.25e-07,1.7245709685772
8,1.25e-07,1.75271901237572
8,1.7675e-07,1.68538624773745
8,2.5e-07,1.43028939604248
8,2.5e-07,1.50341301831093
8,2.5e-07,1.51983267583844
8,7.905e-07,0.908947773187596
8,7.905e-07,0.949070717853113
8,7.905e-07,1.00489757286385
8,2.5e-06,0.450931166480337
8,2.5e-06,0.46068847785466
8,2.5e-06,0.547794157316163
