t,CISHRNA_Obs,CIS_Obs,Compound_1_Obs
0,0.000182441970930392,0.0486342442574775,3.41345863688379
10,0.000193307971581914,NaN,2.78950368847958
20,NaN,0.0600563943866051,3.50220275565259
25,0.000166259496310552,NaN,NaN
30,NaN,NaN,3.98404019928808
35,0.000135535747040605,0.0455464175160604,NaN
45,NaN,NaN,4.47735778362226
50,0.000138683817215261,NaN,NaN
55,NaN,0.0469863547082989,NaN
60,NaN,NaN,3.46684774398631
65,0.000121721830057306,NaN,NaN
75,NaN,NaN,3.63532273631483
80,0.000121417325526441,0.056860717643037,NaN
95,NaN,NaN,3.73388468487171
100,0.000129166830462357,0.0379240449720855,NaN
150,0.000116388621875689,0.0261321623101973,NaN
200,NaN,0.0377784837318951,NaN
