t,EpoRJAK2_Obs,EpoRpJAK2_Obs,Compound_1_Obs
0,0.775615115523553,0.00747389457598172,3.41538408099531
35,0.061352471043635,0.308602682235489,1.97597311530794
75,0.0564003219811944,0.215955159653182,1.97399159795489
100,0.102269435321938,0.272404334970548,2.46789550442327
150,0.0353996244490258,0.382260648614382,2.72531723589235
200,0.096148506631099,0.422843527197106,2.33498834934413
250,NaN,0.366526202598505,NaN
300,0.0223060923528926,NaN,2.6414788141349
350,0.0794742432809884,0.248890424445494,2.12157317123537
400,NaN,0.336845441391194,NaN
500,NaN,0.323651534238538,NaN
600,NaN,0.418784261975645,NaN
